iter	Passed	Remaining
413	2982	4221
414	2988	4213
415	2996	4206
416	3001	4196
417	3020	4205
418	3065	4250
419	3073	4243
420	3080	4236
421	3085	4226
422	3092	4218
423	3104	4216
424	3109	4206
425	3116	4199
426	3125	4193
427	3142	4199
428	3149	4192
429	3155	4183
430	3162	4175
431	3168	4166
432	3174	4156
433	3179	4146
434	3185	4137
435	3191	4128
436	3197	4120
437	3203	4110
438	3208	4100
439	3215	4092
440	3220	4082
441	3227	4074
442	3233	4065
443	3242	4060
444	3248	4051
445	3261	4050
446	3270	4045
447	3275	4036
448	3282	4028
449	3288	4018
450	3295	4011
451	3301	4002
452	3306	3992
453	3316	3988
454	3327	3985
455	3333	3976
456	3339	3967
457	3345	3958
458	3352	3951
459	3358	3942
460	3363	3933
461	3369	3923
462	3376	3916
463	3382	3907
464	3388	3898
465	3393	3888
466	3400	3880
467	3406	3872
468	3411	3862
469	3420	3857
470	3428	3850
471	3439	3847
472	3444	3838
473	3451	3829
474	3465	3830
475	3471	3821
476	3478	3813
477	3485	3806
478	3496	3802
479	3501	3793
480	3526	3804
481	3536	3800
482	3544	3793
483	3551	3785
484	3557	3777
485	3564	3769
486	3570	3760
487	3575	3751
488	3583	3744
489	3589	3735
490	3601	3733
491	3615	3733
492	3622	3725
493	3628	3716
494	3638	3712
495	3652	3711
496	3665	3709
497	3676	3706
498	3684	3699
499	3691	3691
500	3700	3685
501	3706	3676
502	3713	3668
503	3720	3661
504	3730	3656
505	3749	3660
506	3757	3654
507	3763	3645
508	3768	3635
509	3775	3627
510	3794	3630
511	3801	3622
512	3807	3614
513	3812	3605
514	3818	3596
515	3832	3594
516	3840	3587
517	3845	3578
518	3852	3570
519	3857	3560
520	3862	3551
521	3885	3558
522	3892	3549
523	3900	3542
524	3906	3534
525	3913	3526
526	3946	3542
527	3952	3533
528	3979	3542
529	3987	3536
530	3993	3527
531	3998	3517
532	4005	3509
533	4015	3504
534	4021	3495
535	4028	3487
536	4034	3478
537	4040	3469
538	4045	3460
539	4053	3453
540	4059	3443
541	4065	3435
542	4071	3427
543	4077	3418
544	4087	3412
545	4092	3403
546	4100	3395
547	4105	3386
548	4111	3377
549	4122	3373
550	4129	3364
551	4134	3355
552	4141	3347
553	4150	3341
554	4159	3334
555	4164	3325
556	4170	3316
557	4178	3309
558	4186	3302
559	4199	3299
560	4206	3291
561	4212	3283
562	4220	3276
563	4226	3267
564	4237	3262
565	4243	3253
566	4250	3245
567	4255	3236
568	4261	3228
569	4268	3219
570	4273	3210
571	4279	3201
572	4285	3193
573	4291	3185
574	4296	3175
575	4311	3174
576	4319	3166
577	4324	3157
578	4330	3148
579	4336	3140
580	4342	3131
581	4348	3123
582	4353	3114
583	4359	3105
584	4368	3098
585	4387	3099
586	4409	3102
587	4415	3093
588	4421	3085
589	4433	3080
590	4438	3071
591	4445	3063
592	4450	3054
593	4457	3046
594	4464	3039
595	4471	3030
596	4476	3021
597	4483	3013
598	4491	3006
599	4502	3001
600	4508	2993
601	4516	2985
602	4521	2976
603	4528	2968
604	4537	2962
605	4549	2958
606	4555	2949
607	4560	2940
608	4566	2931
609	4573	2924
610	4582	2917
611	4588	2908
612	4596	2901
613	4603	2894
614	4610	2886
615	4621	2880
616	4626	2872
617	4632	2863
618	4638	2855
619	4645	2847
620	4660	2844
621	4706	2860
622	4712	2851
623	4719	2843
624	4736	2842
625	4743	2834
626	4750	2826
627	4756	2817
628	4762	2808
629	4767	2799
630	4788	2800
631	4799	2794
632	4813	2790
633	4842	2795
634	4857	2791
635	4863	2783
636	4869	2774
637	4884	2771
638	4890	2762
639	4895	2753
640	4902	2745
641	4907	2736
642	4916	2729
643	4921	2720
644	4935	2716
645	4940	2707
646	4947	2699
647	4954	2691
648	4966	2685
649	4972	2677
650	4978	2668
651	4983	2659
652	4990	2652
653	5000	2645
654	5007	2637
655	5012	2628
656	5019	2620
657	5026	2612
658	5032	2603
659	5037	2594
660	5042	2586
661	5049	2578
662	5056	2570
663	5062	2561
664	5068	2553
665	5073	2544
666	5079	2536
667	5085	2527
668	5091	2519
669	5097	2510
670	5104	2502
671	5112	2495
672	5117	2486
673	5126	2479
674	5132	2471
675	5141	2464
676	5146	2455
677	5152	2447
678	5168	2443
679	5173	2434
680	5178	2425
681	5185	2417
682	5190	2409
683	5196	2400
684	5204	2393
685	5211	2385
686	5217	2377
687	5224	2369
688	5231	2361
689	5242	2355
690	5248	2347
691	5255	2339
692	5267	2333
693	5273	2325
694	5278	2316
695	5284	2308
696	5291	2300
697	5297	2292
698	5305	2284
699	5310	2275
700	5316	2267
701	5321	2259
702	5327	2250
703	5335	2243
704	5341	2234
705	5348	2227
706	5355	2219
707	5361	2211
708	5366	2202
709	5375	2195
710	5381	2187
711	5387	2179
712	5394	2171
713	5399	2163
714	5415	2158
715	5428	2153
716	5434	2145
717	5439	2136
718	5445	2128
719	5451	2119
720	5476	2119
721	5484	2111
722	5491	2103
723	5500	2096
724	5508	2089
725	5514	2081
726	5520	2072
727	5525	2064
728	5530	2056
729	5539	2049
730	5547	2041
731	5559	2035
732	5565	2027
733	5571	2019
734	5576	2010
735	5584	2003
736	5589	1994
737	5595	1986
738	5601	1978
739	5608	1970
740	5624	1965
741	5630	1957
742	5636	1949
743	5641	1941
744	5648	1933
745	5656	1925
746	5661	1917
747	5670	1910
748	5677	1902
749	5684	1894
750	5710	1893
751	5726	1888
752	5734	1881
753	5742	1873
754	5758	1868
755	5764	1860
756	5769	1852
757	5775	1843
758	5782	1835
759	5787	1827
760	5795	1820
761	5801	1812
762	5807	1804
763	5812	1795
764	5818	1787
765	5830	1781
766	5841	1774
767	5847	1766
768	5856	1759
769	5862	1751
770	5869	1743
771	5874	1734
772	5879	1726
773	5890	1720
774	5895	1711
775	5901	1703
776	5909	1696
777	5915	1688
778	5921	1680
779	5928	1672
780	5935	1664
781	5942	1656
782	5947	1648
783	5953	1640
784	5958	1632
785	5964	1623
786	5971	1616
787	5980	1608
788	5987	1601
789	5994	1593
790	6001	1585
791	6008	1577
792	6013	1569
793	6019	1561
794	6025	1553
795	6040	1548
796	6048	1540
797	6056	1533
798	6065	1525
799	6082	1520
800	6087	1512
801	6094	1504
802	6101	1496
803	6107	1488
804	6115	1481
805	6122	1473
806	6131	1466
807	6137	1458
808	6145	1450
809	6159	1444
810	6164	1436
811	6170	1428
812	6180	1421
813	6186	1413
814	6197	1406
815	6205	1399
816	6213	1391
817	6218	1383
818	6226	1376
819	6233	1368
820	6239	1360
821	6248	1352
822	6253	1344
823	6259	1336
824	6267	1329
825	6273	1321
826	6278	1313
827	6284	1305
828	6292	1297
829	6299	1290
830	6306	1282
831	6315	1275
832	6321	1267
833	6327	1259
834	6340	1252
835	6346	1245
836	6351	1236
837	6357	1229
838	6364	1221
839	6370	1213
840	6386	1207
841	6393	1199
842	6399	1191
843	6410	1184
844	6416	1176
845	6421	1168
846	6429	1161
847	6435	1153
848	6460	1149
849	6468	1141
850	6475	1133
851	6481	1125
852	6488	1118
853	6496	1110
854	6505	1103
855	6512	1095
856	6517	1087
857	6522	1079
858	6529	1071
859	6537	1064
860	6546	1056
861	6551	1048
862	6557	1040
863	6562	1033
864	6582	1027
865	6593	1020
866	6607	1013
867	6613	1005
868	6633	999
869	6641	992
870	6646	984
871	6653	976
872	6658	968
873	6663	960
874	6674	953
875	6680	945
876	6686	937
877	6691	929
878	6698	922
879	6715	915
880	6723	908
881	6730	900
882	6737	892
883	6745	885
884	6750	877
885	6757	869
886	6765	861
887	6771	854
888	6777	846
889	6782	838
890	6793	831
891	6800	823
892	6806	815
893	6818	808
894	6823	800
895	6829	792
896	6836	785
897	6841	777
898	6851	769
899	6857	761
900	6863	754
901	6869	746
902	6876	738
903	6884	731
904	6893	723
905	6899	715
906	6907	708
907	6913	700
908	6920	692
909	6926	685
910	6932	677
911	6938	669
912	6944	661
913	6965	655
914	6988	649
915	6995	641
916	7002	633
917	7008	626
918	7022	618
919	7028	611
920	7034	603
921	7084	599
922	7089	591
923	7098	583
924	7105	576
925	7111	568
926	7125	561
927	7131	553
928	7139	545
929	7145	537
930	7172	531
931	7179	523
932	7185	515
933	7197	508
934	7219	501
935	7225	494
936	7232	486
937	7236	478
938	7242	470
939	7248	462
940	7264	455
