iter	MultiClass
0	1.215797673
1	1.09031321
2	0.9839839905
3	0.9024619656
4	0.8269292626
5	0.77201182
6	0.720376923
7	0.6703550478
8	0.6285601782
9	0.5891102846
10	0.5585627632
11	0.5278638553
12	0.5010435616
13	0.4768076791
14	0.4539630227
15	0.4325975682
16	0.4119963181
17	0.393345772
18	0.3767353218
19	0.3598051625
20	0.3475032468
21	0.3368017454
22	0.3235506522
23	0.3117139661
24	0.3014034515
25	0.2917074937
26	0.2829126456
27	0.2742862265
28	0.2650669796
29	0.257934079
30	0.2508016498
31	0.2433968342
32	0.2377139401
33	0.2317473358
34	0.226210074
35	0.2203021822
36	0.2151571037
37	0.210323178
38	0.2061749504
39	0.2021533841
40	0.1981170028
41	0.19334029
42	0.1888079082
43	0.1851335246
44	0.1817293705
45	0.1785097549
46	0.174193755
47	0.171013844
48	0.1683819829
49	0.1659987987
50	0.1634837732
51	0.1602457794
52	0.1576642241
53	0.1532340361
54	0.1507762341
55	0.1473771425
56	0.1453291881
57	0.1428337431
58	0.1408375127
59	0.1394869734
60	0.136796489
61	0.1352055433
62	0.133959255
63	0.1322294476
64	0.1307218322
65	0.1292476807
66	0.1273185944
67	0.1256374376
68	0.1245515224
69	0.1228075342
70	0.1216522707
71	0.1198212296
72	0.1182429369
73	0.1170739634
74	0.1154066365
75	0.1134594392
76	0.1121860398
77	0.1110907683
78	0.1104455852
79	0.1090866719
80	0.1079698119
81	0.1063997632
82	0.1052510902
83	0.1042626077
84	0.1032045599
85	0.1022752275
86	0.1012179206
87	0.09993192814
88	0.09886100502
89	0.09822143963
90	0.09747564973
91	0.09676255412
92	0.09586091668
93	0.09469382455
94	0.09394180749
95	0.0928921616
96	0.09194335039
97	0.0910013508
98	0.09014210842
99	0.08937844321
100	0.08869769499
101	0.08813196782
102	0.08728942602
103	0.08667102526
104	0.0862623776
105	0.08517996998
106	0.08457351482
107	0.08390051307
108	0.08321566148
109	0.08227250249
110	0.0817265909
111	0.08090734188
112	0.08012650828
113	0.07941230099
114	0.07858002012
115	0.0777160213
116	0.07718104848
117	0.07667086576
118	0.07594140521
119	0.07539132223
120	0.07481504347
121	0.07421361895
122	0.0737473849
123	0.07328287021
124	0.0729514176
125	0.07209231699
126	0.07168726756
127	0.07123208002
128	0.07084777861
129	0.0701508883
130	0.06979398763
131	0.0691719373
132	0.06880289206
133	0.06811113551
134	0.06751686079
135	0.06694225827
136	0.06649842918
137	0.0660858142
138	0.06578862374
139	0.06538193877
140	0.06512683877
141	0.06459988865
142	0.06414355799
143	0.0636226561
144	0.06342476313
145	0.06302538437
146	0.06248089
147	0.06204439375
148	0.06144124018
149	0.06090393892
150	0.06047940207
151	0.0601958274
152	0.05983071339
153	0.05944035441
154	0.05912898595
155	0.05855393152
156	0.05830810727
157	0.05800059321
158	0.05757736046
159	0.05736321915
160	0.05696810517
161	0.05669056561
162	0.05647603611
163	0.05607846659
164	0.05567237786
165	0.05534211175
166	0.05490791316
167	0.05452791902
168	0.05428697457
169	0.05402768715
170	0.05373568236
171	0.05346551101
172	0.05322739176
173	0.05292071366
174	0.05282941144
175	0.05255024833
176	0.05225147912
177	0.05187377586
178	0.05152545096
179	0.05125068782
180	0.0509949369
181	0.05083789871
182	0.05075587233
183	0.05052952506
184	0.05042009083
185	0.05003266121
186	0.04986133896
187	0.04956546477
188	0.04943162662
189	0.04928330125
190	0.04908023104
191	0.04890364089
192	0.04871841855
193	0.04845912102
194	0.04818992451
195	0.04792006419
196	0.04778461093
197	0.04764058458
198	0.0475046478
199	0.04721711499
200	0.04704681094
201	0.0467872873
202	0.04653286358
203	0.04622409527
204	0.04585719355
205	0.04572734156
206	0.04540571439
207	0.04521048342
208	0.04505836915
209	0.04498679032
210	0.04482324437
211	0.04462954434
212	0.04453831435
213	0.04441305984
214	0.04419327834
215	0.04399481435
216	0.043789361
217	0.04354931402
218	0.0432965823
219	0.0431168722
220	0.04287011605
221	0.04263655796
222	0.04241435081
223	0.04217125357
224	0.04196490293
225	0.04188935994
226	0.04172601098
227	0.04163606091
228	0.04134085908
229	0.04121411872
230	0.04109386956
231	0.04100376182
232	0.04086216419
233	0.04073708465
234	0.04054755014
235	0.04032028239
236	0.04013946691
237	0.03991736243
238	0.03977316788
239	0.03957791884
240	0.03946914667
241	0.03941181548
242	0.03921696366
243	0.03912304281
244	0.03892544803
245	0.03880917764
246	0.03873334562
247	0.03859768847
